Word ID	Word
1639	perfectly
1640	legitimate
1641	commonplace
1642	repeat
1643	possessing
1644	accuses
1645	researchers
1646	claiming
1647	engineering
1648	spending
1649	hour
1650	internet
1651	spent
1652	think
1653	actual
1654	pretending
1655	likes
1656	conflate
1657	strawman
1658	movement
1659	require
1660	advanced
1661	degrees
1662	recognize
1663	offering
1664	substantive
1665	rebuttals
1666	constructive
1667	dialogue
1668	layperson
1669	avoiding
1670	presumably
1671	counterargument
1672	merit
1673	skirting
1674	controlled
1675	demolition
1676	explained
1677	unconnected
1678	terrorist
1679	somehow
1680	compatible
1681	hypothesis
1682	domestic
1683	actors
1684	involved
1685	challenging
1686	cases
1687	nc
1688	diverted
1689	efforts
1690	sideshow
1691	invading
1692	afghanistan
1693	little
1694	caught
1695	delaying
1696	invasion
1697	iraq
1698	wanted
1699	administration
1700	officials
1701	short
1702	lunacy
1703	plans
1704	invade
1705	prior
1706	reiterates
1707	prevarication
1708	intervention
1709	done
1710	september
1711	attacks
1712	case
1713	expect
1714	planning
1715	imminent
1716	occurred
1717	highly
1718	doubtful
1719	plan
1720	draft
1721	presidential
1722	directive
1723	circulated
1724	nsc
1725	june
1726	meetings
1727	summer
1728	deputy
1729	secretary
1730	policy
1731	questions
1732	relating
1733	aggressive
1734	strategy
1735	taliban
1736	uspakistan
1737	relations
1738	week
1739	arrived
1740	principals
1741	nspd
1742	objectives
1743	diplomatic
1744	military
1745	economic
1746	intelligence
1747	law
1748	enforcement
1749	eliminate
1750	sanctuaries
1751	alqaeda
1752	related
1753	networks
1754	failed
1755	additional
1756	measures
1757	essence
1758	major
1759	decision
1760	issued
1761	signed
1762	president
1763	preamble
1764	october
1765	defense
1766	donald
1767	rumsfeld
1768	rationale
1769	combat
1770	terrorism
1771	quote
1772	proves
1773	terror
1774	conceived
1775	antiterrorist
1776	pretext
1777	facevalue
1778	desired
1779	sept
1780	question
1781	seriously
1782	stratagems
1783	arose
1784	remember
1785	viewed
1786	geostrategically
1787	location
1788	relative
1789	oil
1790	producing
1791	regions
1792	securing
1793	interests
1794	speaking
1795	cato
1796	conference
1797	future
1798	vice
1799	dick
1800	cheney
1801	gave
1802	operation
1803	priority
1804	strategic
1805	fuel
1806	india
1807	gulf
1808	oman
1809	shipped
1810	markets
